scenario_id,load_scale,contingency,fault_bus,clearing_time,v_min_system,v_mean_system,is_stable
179,0.9,Line_16_17,39,0.3,-0.20465319776727955,0.9909947781432958,0
41,0.8,Line_2_3,16,0.3,-1.1527830195522244e-14,0.8418081691817655,0
266,1.0,Line_16_17,39,0.15,-0.20461314927885382,0.9842800619750872,0
281,1.1,None,16,0.3,0.005715664814295463,0.88450402235741,0
330,1.1,Line_16_17,2,0.05,0.00674411198415814,1.0358689766697229,1
37,0.8,Line_2_3,16,0.1,0.007124029400916037,1.0499113535214664,1
169,0.9,Line_16_17,29,0.1,0.00291642745610942,1.0495742300219102,1
144,0.9,Line_2_3,39,0.05,-0.20463300087444242,0.980162092079541,0
109,0.9,None,29,0.1,0.0031333118747397474,1.0519738752946777,1
6,0.8,None,16,0.05,0.00783812879269417,1.0561216462438268,1
173,0.9,Line_16_17,29,0.3,-9.599578040031767e-18,0.9717953033261951,0
120,0.9,Line_2_3,2,0.05,0.005311837469547428,1.0458091264363687,1
162,0.9,Line_16_17,26,0.05,0.004217923589163441,1.049695127800023,1
187,1.0,None,16,0.1,0.007779931614748096,1.04304316497618,1
241,1.0,Line_16_17,2,0.1,0.006709159218784466,1.04193993165488,1
304,1.1,Line_2_3,2,0.25,0.0052234568189102005,1.0273368155812,1
417,1.2,Line_2_3,39,0.2,-0.20451885380378407,0.9666053175884559,0
430,1.2,Line_16_17,16,0.25,-4.527323191545945e-17,0.9123677949501257,0
89,0.8,Line_16_17,39,0.3,-0.2046900997283416,0.9991032718705275,0
159,0.9,Line_16_17,16,0.2,-3.4494500101993995e-14,0.9106208087039024,0
354,1.1,Line_16_17,39,0.05,-0.20456988876687793,0.992211199999658,0
291,1.1,None,29,0.2,0.003196096035744976,1.0389073543721337,1
11,0.8,None,16,0.3,-2.848714610316464e-15,0.8536186701996515,0
145,0.9,Line_2_3,39,0.1,-0.20463300087444242,0.970137254994972,0
242,1.0,Line_16_17,2,0.15,0.006709159218784466,1.0415484330624403,1
143,0.9,Line_2_3,29,0.3,0.003120934504682935,1.0436374835024733,1
34,0.8,Line_2_3,2,0.25,0.005304624200011427,1.0521600687984272,1
100,0.9,None,16,0.25,-1.3526568284142318e-12,0.8566148413750988,0
88,0.8,Line_16_17,39,0.25,-0.2046900997283416,0.9991032718705275,0
153,0.9,Line_16_17,2,0.2,0.006675190561323706,1.0470380619316986,1
394,1.2,Line_2_3,2,0.25,0.005143624060967332,1.0173319178257798,1
61,0.8,Line_16_17,2,0.1,0.006642123430473629,1.0543549822457694,1
4,0.8,None,2,0.25,0.0073132112252016985,1.054235368373988,1
7,0.8,None,16,0.1,0.00768513970473224,1.054677354563843,1
402,1.2,Line_2_3,26,0.05,0.005023273528339087,1.0184822600731647,1
240,1.0,Line_16_17,2,0.05,0.006709159218784466,1.0427659920968066,1
362,1.2,None,2,0.15,0.007488699452685077,1.0310936012486034,1
59,0.8,Line_2_3,39,0.3,-0.2046641220527921,1.0058510334208552,0
203,1.0,None,29,0.3,0.003165708260284439,1.0439278169290895,1
420,1.2,Line_16_17,2,0.05,0.006780084454349839,1.028426940483876,1
156,0.9,Line_16_17,16,0.05,0.0057353864350004205,1.048905786098715,1
151,0.9,Line_16_17,2,0.1,0.006675190561323706,1.0483634479885766,1
2,0.8,None,2,0.15,0.007370861702747682,1.0558036818014351,1
351,1.1,Line_16_17,29,0.2,0.002985657968242723,1.0353749747756973,1
201,1.0,None,29,0.2,0.003165708260284439,1.045331688035139,1
262,1.0,Line_16_17,29,0.25,0.002951769090323881,1.04198509771173,1
163,0.9,Line_16_17,26,0.1,0.0041323011612525405,1.0490827370829172,1
381,1.2,None,29,0.2,0.0032249719849140753,1.031979636567345,1
339,1.1,Line_16_17,16,0.2,-3.881808591478289e-12,0.9037605323673894,0
77,0.8,Line_16_17,26,0.3,0.003864362493416919,1.0531080081760424,1
306,1.1,Line_2_3,16,0.05,0.007449339110101523,1.0268820063385098,1
382,1.2,None,29,0.25,0.0032249719849140753,1.0310657610893073,1
92,0.9,None,2,0.15,0.007399785454404903,1.0502190806893483,1
263,1.0,Line_16_17,29,0.3,-0.23010657254202543,0.7972776453243963,0
268,1.0,Line_16_17,39,0.25,-0.20461314927885382,0.996995883764624,0
21,0.8,None,29,0.2,0.003098728814653419,1.0569381644892055,1
45,0.8,Line_2_3,26,0.2,0.004808069536189543,1.051013882914749,1
175,0.9,Line_16_17,39,0.1,-0.20465319776727955,0.983374398850091,0
170,0.9,Line_16_17,29,0.15,0.00291642745610942,1.0494685608634615,1
422,1.2,Line_16_17,2,0.15,0.006780084454349839,1.027090867871444,1
130,0.9,Line_2_3,16,0.25,0.006361448880296931,0.9197231423613321,0
363,1.2,None,2,0.2,0.00745695571885205,1.0297123216326485,1
96,0.9,None,16,0.05,0.007891655882461553,1.0506083812370786,1
427,1.2,Line_16_17,16,0.1,2.4684239060269708e-17,0.9091663501233878,0
313,1.1,Line_2_3,26,0.1,0.004926560273882401,1.0276046388340792,1
315,1.1,Line_2_3,26,0.2,0.004762658045836363,1.0262682484045917,1
149,0.9,Line_2_3,39,0.3,-0.20463300087444242,0.999623843569496,0
127,0.9,Line_2_3,16,0.1,0.007202424950567565,1.0423669750765017,1
188,1.0,None,16,0.15,0.007466707426123498,1.0417955717484535,1
380,1.2,None,29,0.15,0.0032249719849140753,1.0327672660482003,1
365,1.2,None,2,0.3,0.006942472476885949,1.0260160983016933,1
238,1.0,Line_2_3,39,0.25,-0.20459853354648996,0.9822646768831076,0
69,0.8,Line_16_17,16,0.2,0.005149886164485667,0.9783261815942931,0
94,0.9,None,2,0.25,0.007293426303247341,1.0484879379403864,1
226,1.0,Line_2_3,26,0.25,0.004690827222239625,1.034760804091074,1
410,1.2,Line_2_3,29,0.15,0.0032004482306855183,1.0181086144184577,1
129,0.9,Line_2_3,16,0.2,0.006705558752345535,1.039029555595092,1
387,1.2,None,39,0.2,-0.2044852086176073,0.9933467743632735,0
342,1.1,Line_16_17,26,0.05,0.004244818139298321,1.0363869311661151,1
352,1.1,Line_16_17,29,0.25,0.002985657968242723,0.9969622729988764,0
436,1.2,Line_16_17,26,0.25,0.0038685539056212167,1.0266404980992272,1
324,1.1,Line_2_3,39,0.05,-0.2045605599261699,0.9669847142546342,0
227,1.0,Line_2_3,26,0.3,0.00457481615546311,1.0336754060194704,1
314,1.1,Line_2_3,26,0.15,0.004849729125189087,1.027214000091782,1
223,1.0,Line_2_3,26,0.1,0.004929677557517348,1.0365027698056977,1
68,0.8,Line_16_17,16,0.15,0.005416684218454995,1.0528052506308614,1
155,0.9,Line_16_17,2,0.3,0.006474294011105395,1.0453593657131364,1
323,1.1,Line_2_3,29,0.3,-1.8660338487262312e-17,0.9585267835229766,0
206,1.0,None,39,0.15,-0.20457637349068955,1.004358992049672,0
280,1.1,None,16,0.25,-7.781010337092953e-14,0.853723812668095,0
278,1.1,None,16,0.15,0.007488418473939374,1.034047302486593,1
225,1.0,Line_2_3,26,0.2,0.004781898331654813,1.035279880517635,1
93,0.9,None,2,0.2,0.007399785454404903,1.0490929695967721,1
220,1.0,Line_2_3,16,0.25,0.006344050673131046,0.9149832249330592,0
38,0.8,Line_2_3,16,0.15,0.006914113493580906,1.0490309163021734,1
277,1.1,None,16,0.1,0.007836334665183898,1.0365590803648612,1
50,0.8,Line_2_3,29,0.15,0.003089393365012659,1.0527398113342095,1
398,1.2,Line_2_3,16,0.15,0.007197022983174891,1.0121086918911133,1
233,1.0,Line_2_3,29,0.3,0.003149837304963879,1.0350687443969147,1
85,0.8,Line_16_17,39,0.1,-0.2046900997283416,0.9877082869808436,0
192,1.0,None,26,0.05,0.005069724091239175,1.0460636836153459,1
208,1.0,None,39,0.25,-0.20457637349068955,1.0041994321779024,0
133,0.9,Line_2_3,26,0.1,0.0049295939412973885,1.0446145183222884,1
106,0.9,None,26,0.25,0.004719422307493473,1.0495997730188338,1
439,1.2,Line_16_17,29,0.1,0.0030186484081884475,1.028736053158253,1
26,0.8,None,39,0.15,-0.6437373045381203,0.7450886244977379,0
215,1.0,Line_2_3,2,0.3,0.005083478697702372,1.0357286548257367,1
66,0.8,Line_16_17,16,0.05,0.005704393375159141,1.0549391300061255,1
212,1.0,Line_2_3,2,0.15,0.005317899360021824,1.0371104229899961,1
10,0.8,None,16,0.25,0.006766783885907446,0.9300654242234182,0
375,1.2,None,26,0.2,0.004795326930931869,1.0307840481525177,1
217,1.0,Line_2_3,16,0.1,0.007289341534961875,1.0341173087069135,1
355,1.1,Line_16_17,39,0.1,-0.20456988876687793,0.9766066756349947,0
53,0.8,Line_2_3,29,0.3,0.003089393365012659,1.0513882468545244,1
245,1.0,Line_16_17,2,0.3,0.006424085042695434,1.0386601592455416,1
231,1.0,Line_2_3,29,0.2,0.003149837304963879,1.0364615459272835,1
177,0.9,Line_16_17,39,0.2,-0.20465319776727955,0.9909947781432958,0
74,0.8,Line_16_17,26,0.15,0.004065888970941424,1.054875208463134,1
72,0.8,Line_16_17,26,0.05,0.004204386751626706,1.0556751511362152,1
31,0.8,Line_2_3,2,0.1,0.005304624200011427,1.0528529701376768,1
196,1.0,None,26,0.25,0.004700983952570033,1.04351410000242,1
247,1.0,Line_16_17,16,0.1,0.005687932420123032,1.0406915038784392,1
350,1.1,Line_16_17,29,0.15,0.002985657968242723,1.036038003433237,1
303,1.1,Line_2_3,2,0.2,0.005322715679574073,1.0276398890216984,1
254,1.0,Line_16_17,26,0.15,0.004079933290873892,1.042434384368318,1
218,1.0,Line_2_3,16,0.15,0.007044719080995215,1.032801012986091,1
264,1.0,Line_16_17,39,0.05,-0.20461314927885382,0.9940576106629002,0
76,0.8,Line_16_17,26,0.25,0.003945101363153639,1.0539108870979366,1
267,1.0,Line_16_17,39,0.2,-0.20461314927885382,0.996995883764624,0
401,1.2,Line_2_3,16,0.3,0.005658133148066013,0.8708511145310236,0
320,1.1,Line_2_3,29,0.15,0.003176210288467667,1.028077299330599,1
190,1.0,None,16,0.25,-0.0515387494700195,0.8605614455054287,0
20,0.8,None,29,0.15,0.003098728814653419,1.0574249382223901,1
286,1.1,None,26,0.25,0.004681007103849827,1.0369992845385796,1
300,1.1,Line_2_3,2,0.05,0.005322715679574073,1.0287503078997018,1
55,0.8,Line_2_3,39,0.1,-0.2046641220527921,0.9931194496562399,0
139,0.9,Line_2_3,29,0.1,0.003120934504682935,1.04534476500368,1
164,0.9,Line_16_17,26,0.15,0.004072728021610587,1.04887336543237,1
154,0.9,Line_16_17,2,0.25,0.006640346845213134,1.0465359582843319,1
178,0.9,Line_16_17,39,0.25,-0.20465319776727955,0.9909947781432958,0
14,0.8,None,26,0.15,0.004876591426108632,1.0564802765860792,1
335,1.1,Line_16_17,2,0.3,0.0063711250524721725,1.0314030924655428,1
294,1.1,None,39,0.05,-0.20453224668905035,0.9918009236770302,0
370,1.2,None,16,0.25,-2.4375671964218345e-13,0.855693097849211,0
328,1.1,Line_2_3,39,0.25,-0.2045605599261699,0.9679655043112192,0
75,0.8,Line_16_17,26,0.2,0.004009537005975729,1.0542143611939092,1
296,1.1,None,39,0.15,-0.6808807684731005,0.9807272449958186,0
158,0.9,Line_16_17,16,0.15,0.005407289469482922,0.9891144338943824,0
39,0.8,Line_2_3,16,0.2,0.006673837065644163,1.0470564513966496,1
160,0.9,Line_16_17,16,0.25,-1.5717284031055754e-12,0.9118479213760811,0
67,0.8,Line_16_17,16,0.1,0.005646395849126092,1.0537612886554728,1
376,1.2,None,26,0.25,0.004659054171796906,1.030052356332792,1
99,0.9,None,16,0.2,0.00710442997953111,1.0457916305187938,1
265,1.0,Line_16_17,39,0.1,-0.8744637911212244,0.9858267339386129,0
97,0.9,None,16,0.1,0.007729567788033943,1.0490652772067186,1
358,1.1,Line_16_17,39,0.25,-0.20456988876687793,0.9896672868913455,0
184,1.0,None,2,0.25,0.007274232603145779,1.042341209198642,1
210,1.0,Line_2_3,2,0.05,0.005317899360021824,1.037671876601775,1
244,1.0,Line_16_17,2,0.25,0.0066249727228334,1.0399346318871696,1
211,1.0,Line_2_3,2,0.1,0.005317899360021824,1.0372431454323967,1
209,1.0,None,39,0.3,-0.20457637349068955,1.0041994321779024,0
413,1.2,Line_2_3,29,0.3,-5.3126022257075475e-18,0.9518787786684353,0
447,1.2,Line_16_17,39,0.2,-0.20452333697070157,0.9642728958865489,0
207,1.0,None,39,0.2,-0.20457637349068955,1.0041994321779024,0
42,0.8,Line_2_3,26,0.05,0.00502567282345801,1.052755977350134,1
445,1.2,Line_16_17,39,0.1,-0.7801109020916251,0.9389568840359113,0
118,0.9,None,39,0.25,-0.2046176245850261,1.0090659451465962,0
378,1.2,None,29,0.05,0.0032249719849140753,1.033531879495809,1
419,1.2,Line_2_3,39,0.3,-0.20451885380378407,0.9666053175884559,0
113,0.9,None,29,0.3,0.0031333118747397474,1.0502470965676485,1
180,1.0,None,2,0.05,0.007429098662683542,1.0456268241052098,1
19,0.8,None,29,0.1,0.003098728814653419,1.0574962625339568,1
443,1.2,Line_16_17,29,0.3,-4.4257999592610026e-14,0.9637415130322673,0
213,1.0,Line_2_3,2,0.2,0.005317899360021824,1.0366175508944757,1
